,id,name,address,zip_code,latitude,longitude,rating,review_count,cuisine
4276,-_LtKO0FdpINUMAWMfDOOQ,Al Naimat Restaurant & Sweets,"3703 74th St, Jackson Heights, NY 11372",11372,40.74882,-73.891538,4.0,148,indian
4277,tgvibHhySfASSEqJbScCiQ,Nurlan Uyghur Restaurant,"43-39 Main St, Flushing, NY 11355",11355,40.751702,-73.825982,4.5,102,indian
4278,WrMu2G5M2im56uYKTd4Bgw,Curry In A Hurry,"119 Lexington Ave, New York, NY 10016",10016,40.74268,-73.9822499,3.0,515,indian
4280,oSMFe-10TyH40NIXG0Zahw,Vaibhav Indian Spice Journey,"737 Newark Ave, Jersey City, NJ 07306",07306,40.73503,-74.0624069,3.5,429,indian
4281,T5aGLWBjIZoV0pSW80nJXA,Amiya,"101 Hudson St, Jersey City, NJ 07302",07302,40.71638242842502,-74.03521448255054,3.5,456,indian
4282,Scs2L-4imyt_lorJ6biFKA,While In Kathmandu,"758 Seneca Ave, Ridgewood, NY 11385",11385,40.7020642,-73.9067213,4.5,227,indian
4283,fFkqEyupjc5x2iJQIPcpLw,Ruffian,"125 E 7th St, New York, NY 10009",10009,40.7264,-73.98411,4.5,265,indian
4284,dPffKoLRlnoMFLEgLkHuYA,Masala Cafe,"839 Newark Ave, Jersey City, NJ 07306",07306,40.735694,-74.066643,4.5,53,indian
4285,I04QBDZ28aCeGf_XepTo7Q,Palace of India Restaurant and Bar,"913 Wyckoff Ave, Brooklyn, NY 11385",11385,40.697094338674596,-73.90637295250781,4.0,27,indian
4286,61AiMsA1KrjSYpTJl0ZyGg,Virasat Cafe,"37-39 34th St, Queens, NY 11106",11106,40.7531109,-73.9290452,4.0,2,indian
4287,NqnCmOlPIJ_QBQzvZ28djA,Sapthagiri Taste Of India,"737 Newark Ave, Jersey City, NJ 07306",07306,40.73512018198014,-74.06250224217419,3.5,472,indian
